1 | 2 | 12
1 | 3 | 11
1 | 4 | 10
1 | 5 | 9
1 | 6 | 8
1 | 8 | 6
1 | 9 | 5
1 | 10 | 4
1 | 11 | 3
1 | 12 | 2

2 | 1 | 12
2 | 3 | 10
2 | 4 | 9
2 | 5 | 8
2 | 6 | 7
2 | 7 | 6
2 | 8 | 5
2 | 9 | 4
2 | 10 | 3
2 | 12 | 1

3 | 1 | 11
3 | 2 | 10
3 | 4 | 8
3 | 5 | 7
3 | 7 | 5
3 | 8 | 4
3 | 10 | 2
3 | 11 | 1

4 | 1 | 10
4 | 2 | 9
4 | 3 | 8
4 | 5 | 6
4 | 6 | 5
4 | 8 | 3
4 | 9 | 2
4 | 10 | 1

5 | 1 | 9
5 | 2 | 8
5 | 3 | 7
5 | 4 | 6
5 | 6 | 4
5 | 7 | 3
5 | 8 | 2
5 | 9 | 1

6 | 1 | 8
6 | 2 | 7
6 | 4 | 5
6 | 5 | 4
6 | 7 | 2
6 | 8 | 1

7 | 2 | 6
7 | 3 | 5
7 | 5 | 3
7 | 6 | 2

8 | 1 | 6
8 | 2 | 5
8 | 3 | 4
8 | 4 | 3
8 | 5 | 2
8 | 6 | 1

9 | 1 | 5
9 | 2 | 4
9 | 4 | 2
9 | 5 | 1

10 | 1 | 4
10 | 2 | 3
10 | 3 | 2
10 | 4 | 1

11 | 1 | 3
11 | 3 | 1

12 | 1 | 2
12 | 2 | 1
